glucose,hormone,pct_b,pct_s,ir
20.6,153,19.6,13.1,7.633587786259542
20.6,172,22.0,11.7,8.547008547008547
20.6,191,24.5,10.6,9.433962264150944
20.6,210,27.0,9.7,10.309278350515465
20.6,229,29.6,9.0,11.11111111111111
20.6,248,32.2,8.3,12.048192771084336
20.6,267,34.8,7.8,12.820512820512821
20.6,286,37.4,7.3,13.698630136986301
20.6,305,40.0,6.9,14.492753623188404
20.6,324,42.7,6.5,15.384615384615385
20.6,343,45.4,6.2,16.129032258064516
20.6,362,48.1,5.9,16.94915254237288
20.6,381,50.8,5.6,17.857142857142858
20.6,400,53.5,5.4,18.51851851851852
21.7,20,2.8,76.2,1.3123359580052494
21.7,39,5.0,39.3,2.544529262086514
21.7,58,7.2,26.6,3.7593984962406015
21.7,77,9.3,20.1,4.975124378109452
21.7,96,11.6,16.2,6.172839506172839
21.7,115,13.8,13.6,7.352941176470589
21.7,134,16.1,11.8,8.47457627118644
21.7,153,18.4,10.3,9.70873786407767
21.7,172,20.8,9.3,10.75268817204301
21.7,191,23.2,8.4,11.904761904761905
21.7,210,25.7,7.7,12.987012987012987
21.7,229,28.1,7.1,14.084507042253522
21.7,248,30.6,6.6,15.151515151515152
21.7,267,33.2,6.1,16.393442622950822
21.7,286,35.7,5.7,17.543859649122805
21.7,305,38.3,5.4,18.51851851851852
21.7,324,40.9,5.1,19.607843137254903
21.7,343,43.5,4.9,20.408163265306122
21.7,362,46.1,4.6,21.73913043478261
21.7,381,48.8,4.4,22.727272727272727
21.7,400,51.4,4.2,23.80952380952381
22.8,20,2.6,54.5,1.834862385321101
22.8,39,4.6,28.1,3.558718861209964
22.8,58,6.7,19.0,5.2631578947368425
22.8,77,8.7,14.4,6.944444444444445
22.8,96,10.9,11.6,8.620689655172415
22.8,115,13.0,9.7,10.309278350515465
22.8,134,15.2,8.4,11.904761904761905
22.8,153,17.5,7.4,13.513513513513512
22.8,172,19.8,6.6,15.151515151515152
22.8,191,22.1,6.0,16.666666666666668
22.8,210,24.5,5.5,18.181818181818183
22.8,229,26.9,5.0,20.0
22.8,248,29.3,4.7,21.27659574468085
22.8,267,31.8,4.4,22.727272727272727
22.8,286,34.2,4.1,24.390243902439025
22.8,305,36.7,3.9,25.641025641025642
22.8,324,39.3,3.7,27.027027027027025
22.8,343,41.8,3.5,28.571428571428573
22.8,362,44.4,3.3,30.303030303030305
22.8,381,47.0,3.2,31.25
22.8,400,49.6,3.0,33.333333333333336
23.9,20,2.4,31.0,3.225806451612903
23.9,39,4.3,16.0,6.25
23.9,58,6.3,10.8,9.25925925925926
23.9,77,8.2,8.2,12.195121951219512
23.9,96,10.3,6.6,15.151515151515152
23.9,115,12.3,5.6,17.857142857142858
23.9,134,14.5,4.8,20.833333333333336
23.9,153,16.7,4.2,23.80952380952381
23.9,172,18.9,3.8,26.315789473684212
23.9,191,21.1,3.4,29.411764705882355
23.9,210,23.4,3.1,32.25806451612903
23.9,229,25.8,2.9,34.48275862068966
23.9,248,28.1,2.7,37.03703703703704
23.9,267,30.5,2.5,40.0
23.9,286,32.9,2.3,43.47826086956522
23.9,305,35.4,2.2,45.45454545454545
23.9,324,37.8,2.1,47.61904761904762
23.9,343,40.3,2.0,50.0
23.9,362,42.8,1.9,52.631578947368425
23.9,381,45.4,1.8,55.55555555555556
23.9,400,47.9,1.7,58.82352941176471
25.0,20,2.2,5.0,20.0
25.0,39,4.0,2.6,38.46153846153846
25.0,58,5.9,1.8,55.55555555555556
25.0,77,7.8,1.3,76.92307692307692
25.0,96,9.7,1.1,90.9090909090909
25.0,115,11.7,0.9,111.11111111111111
25.0,134,13.8,0.8,125.0
25.0,153,15.9,0.7,142.85714285714286
25.0,172,18.1,0.6,166.66666666666669
25.0,191,20.3,0.6,166.66666666666669
25.0,210,22.5,0.5,200.0
25.0,229,24.8,0.5,200.0
25.0,248,27.1,0.4,250.0
25.0,267,29.4,0.4,250.0
25.0,286,31.8,0.4,250.0
25.0,305,34.2,0.4,250.0
25.0,324,36.6,0.3,333.33333333333337
25.0,343,39.0,0.3,333.33333333333337
25.0,362,41.5,0.3,333.33333333333337
25.0,381,44.0,0.3,333.33333333333337
25.0,400,46.4,0.3,333.33333333333337
