glucose,hormone,pct_b,pct_s,ir
11.8,104,36.9,34.4,2.906976744186047
11.8,118,40.8,30.5,3.278688524590164
11.8,132,44.7,27.4,3.6496350364963503
11.8,146,48.6,24.9,4.016064257028113
11.8,160,52.4,22.9,4.366812227074236
11.8,174,56.2,21.1,4.739336492890995
11.8,188,60.0,19.7,5.0761421319796955
11.8,202,63.7,18.4,5.434782608695652
11.8,216,67.4,17.3,5.780346820809248
11.8,230,71.1,16.3,6.134969325153374
11.8,244,74.8,15.5,6.451612903225806
11.8,258,78.4,14.7,6.802721088435375
11.8,272,82.0,14.0,7.142857142857143
11.8,286,85.6,13.4,7.462686567164179
11.8,300,89.2,12.8,7.8125
12.9,20,8.9,164.7,0.6071645415907712
12.9,34,13.3,97.5,1.0256410256410255
12.9,48,17.3,69.4,1.440922190201729
12.9,62,21.2,54.1,1.8484288354898335
12.9,76,25.0,44.4,2.2522522522522523
12.9,90,28.7,37.7,2.652519893899204
12.9,104,32.4,32.8,3.048780487804878
12.9,118,36.0,29.1,3.4364261168384878
12.9,132,39.5,26.1,3.8314176245210727
12.9,146,43.0,23.8,4.201680672268908
12.9,160,46.5,21.8,4.587155963302752
12.9,174,50.0,20.2,4.9504950495049505
12.9,188,53.5,18.8,5.319148936170213
12.9,202,56.9,17.6,5.681818181818182
12.9,216,60.4,16.5,6.0606060606060606
12.9,230,63.8,15.6,6.410256410256411
12.9,244,67.2,14.8,6.756756756756756
12.9,258,70.5,14.0,7.142857142857143
12.9,272,73.9,13.4,7.462686567164179
12.9,286,77.3,12.8,7.8125
12.9,300,80.6,12.3,8.130081300813007
14.0,20,7.7,154.5,0.6472491909385113
14.0,34,11.6,91.4,1.0940919037199124
14.0,48,15.2,65.2,1.5337423312883436
14.0,62,18.7,50.7,1.972386587771203
14.0,76,22.2,41.6,2.4038461538461537
14.0,90,25.6,35.4,2.824858757062147
14.0,104,28.9,30.8,3.2467532467532467
14.0,118,32.2,27.3,3.663003663003663
14.0,132,35.5,24.5,4.081632653061225
14.0,146,38.8,22.3,4.484304932735426
14.0,160,42.0,20.5,4.878048780487805
14.0,174,45.3,18.9,5.291005291005291
14.0,188,48.5,17.6,5.681818181818182
14.0,202,51.7,16.5,6.0606060606060606
14.0,216,54.9,15.5,6.451612903225806
14.0,230,58.1,14.6,6.8493150684931505
14.0,244,61.3,13.9,7.194244604316546
14.0,258,64.5,13.2,7.575757575757576
14.0,272,67.7,12.6,7.936507936507937
14.0,286,70.9,12.0,8.333333333333334
14.0,300,74.1,11.5,8.695652173913043
15.1,20,6.8,142.2,0.7032348804500704
15.1,34,10.3,84.1,1.1890606420927468
15.1,48,13.6,60.0,1.6666666666666667
15.1,62,16.8,46.7,2.141327623126338
15.1,76,19.9,38.3,2.6109660574412534
15.1,90,23.1,32.6,3.067484662576687
15.1,104,26.2,28.4,3.5211267605633805
15.1,118,29.3,25.1,3.98406374501992
15.1,132,32.3,22.6,4.424778761061947
15.1,146,35.4,20.6,4.854368932038835
15.1,160,38.5,18.9,5.291005291005291
15.1,174,41.5,17.5,5.714285714285714
15.1,188,44.6,16.2,6.172839506172839
15.1,202,47.7,15.2,6.578947368421053
15.1,216,50.7,14.3,6.9930069930069925
15.1,230,53.8,13.5,7.407407407407407
15.1,244,56.8,12.8,7.8125
15.1,258,59.9,12.2,8.196721311475411
15.1,272,62.9,11.6,8.620689655172415
15.1,286,66.0,11.1,9.00900900900901
15.1,300,69.0,10.6,9.433962264150944
16.2,20,6.0,128.3,0.7794232268121589
16.2,34,9.2,76.0,1.3157894736842106
16.2,48,12.2,54.1,1.8484288354898335
16.2,62,15.2,42.2,2.3696682464454977
16.2,76,18.2,34.6,2.890173410404624
16.2,90,21.1,29.4,3.4013605442176873
16.2,104,24.0,25.6,3.90625
16.2,118,26.9,22.7,4.405286343612335
16.2,132,29.8,20.4,4.901960784313726
16.2,146,32.7,18.6,5.376344086021505
16.2,160,35.7,17.1,5.847953216374268
16.2,174,38.6,15.8,6.329113924050633
16.2,188,41.5,14.7,6.802721088435375
16.2,202,44.4,13.7,7.299270072992701
16.2,216,47.4,12.9,7.751937984496124
16.2,230,50.3,12.2,8.196721311475411
16.2,244,53.2,11.6,8.620689655172415
16.2,258,56.2,11.0,9.090909090909092
16.2,272,59.1,10.5,9.523809523809524
16.2,286,62.1,10.0,10.0
16.2,300,65.0,9.6,10.416666666666668
17.3,20,5.4,113.6,0.8802816901408451
17.3,34,8.3,67.3,1.485884101040119
17.3,48,11.2,48.0,2.0833333333333335
17.3,62,13.9,37.4,2.6737967914438503
17.3,76,16.7,30.7,3.257328990228013
17.3,90,19.5,26.1,3.8314176245210727
17.3,104,22.2,22.7,4.405286343612335
17.3,118,25.0,20.1,4.975124378109452
17.3,132,27.8,18.1,5.524861878453038
17.3,146,30.6,16.5,6.0606060606060606
17.3,160,33.4,15.1,6.622516556291391
17.3,174,36.2,14.0,7.142857142857143
17.3,188,39.0,13.0,7.6923076923076925
17.3,202,41.8,12.2,8.196721311475411
17.3,216,44.7,11.5,8.695652173913043
17.3,230,47.5,10.8,9.25925925925926
17.3,244,50.4,10.3,9.70873786407767
17.3,258,53.2,9.8,10.204081632653061
17.3,272,56.1,9.3,10.75268817204301
17.3,286,58.9,8.9,11.235955056179774
17.3,300,61.8,8.5,11.764705882352942
18.4,20,4.9,98.8,1.0121457489878543
18.4,34,7.6,58.5,1.7094017094017093
18.4,48,10.3,41.7,2.398081534772182
18.4,62,12.9,32.5,3.076923076923077
18.4,76,15.5,26.7,3.7453183520599254
18.4,90,18.1,22.7,4.405286343612335
18.4,104,20.8,19.8,5.05050505050505
18.4,118,23.5,17.5,5.714285714285714
18.4,132,26.1,15.8,6.329113924050633
18.4,146,28.8,14.3,6.9930069930069925
18.4,160,31.5,13.2,7.575757575757576
18.4,174,34.3,12.2,8.196721311475411
18.4,188,37.0,11.3,8.849557522123893
18.4,202,39.7,10.6,9.433962264150944
18.4,216,42.5,10.0,10.0
18.4,230,45.3,9.4,10.638297872340425
18.4,244,48.0,9.0,11.11111111111111
18.4,258,50.8,8.5,11.764705882352942
18.4,272,53.6,8.1,12.345679012345679
18.4,286,56.4,7.8,12.820512820512821
18.4,300,59.2,7.5,13.333333333333334
19.5,20,4.5,83.7,1.194743130227001
19.5,34,7.0,49.6,2.0161290322580645
19.5,48,9.5,35.4,2.824858757062147
19.5,62,12.0,27.6,3.623188405797101
19.5,76,14.5,22.7,4.405286343612335
19.5,90,17.1,19.3,5.181347150259067
19.5,104,19.6,16.8,5.9523809523809526
19.5,118,22.2,14.9,6.7114093959731544
19.5,132,24.8,13.4,7.462686567164179
19.5,146,27.4,12.2,8.196721311475411
19.5,160,30.0,11.2,8.928571428571429
19.5,174,32.7,10.4,9.615384615384615
19.5,188,35.3,9.6,10.416666666666668
19.5,202,38.0,9.0,11.11111111111111
19.5,216,40.7,8.5,11.764705882352942
19.5,230,43.4,8.0,12.5
19.5,244,46.1,7.6,13.157894736842106
19.5,258,48.9,7.2,13.88888888888889
19.5,272,51.6,6.9,14.492753623188404
19.5,286,54.3,6.6,15.151515151515152
19.5,300,57.1,6.3,15.873015873015873
20.6,20,4.1,68.7,1.455604075691412
20.6,34,6.5,40.7,2.457002457002457
20.6,48,8.9,29.0,3.4482758620689653
20.6,62,11.3,22.6,4.424778761061947
20.6,76,13.7,18.6,5.376344086021505
20.6,90,16.1,15.8,6.329113924050633
20.6,104,18.6,13.8,7.246376811594202
20.6,118,21.1,12.2,8.196721311475411
20.6,132,23.6,11.0,9.090909090909092
20.6,146,26.2,10.0,10.0
20.6,160,28.8,9.2,10.869565217391305
20.6,174,31.4,8.5,11.764705882352942
20.6,188,34.0,7.9,12.658227848101266
20.6,202,36.6,7.4,13.513513513513512
20.6,216,39.2,7.0,14.285714285714286
20.6,230,41.9,6.6,15.151515151515152
20.6,244,44.6,6.3,15.873015873015873
20.6,258,47.2,6.0,16.666666666666668
20.6,272,49.9,5.7,17.543859649122805
20.6,286,52.6,5.4,18.51851851851852
20.6,300,55.3,5.2,19.23076923076923
21.7,20,3.8,53.3,1.876172607879925
21.7,34,6.1,31.6,3.1645569620253164
21.7,48,8.4,22.6,4.424778761061947
21.7,62,10.7,17.6,5.681818181818182
21.7,76,13.0,14.5,6.896551724137931
21.7,90,15.4,12.3,8.130081300813007
21.7,104,17.8,10.7,9.345794392523365
21.7,118,20.2,9.5,10.526315789473685
21.7,132,22.7,8.6,11.627906976744187
21.7,146,25.2,7.8,12.820512820512821
21.7,160,27.7,7.2,13.88888888888889
21.7,174,30.2,6.6,15.151515151515152
21.7,188,32.8,6.2,16.129032258064516
21.7,202,35.4,5.8,17.24137931034483
21.7,216,38.0,5.4,18.51851851851852
21.7,230,40.6,5.1,19.607843137254903
21.7,244,43.2,4.9,20.408163265306122
21.7,258,45.9,4.6,21.73913043478261
21.7,272,48.5,4.4,22.727272727272727
21.7,286,51.2,4.2,23.80952380952381
21.7,300,53.9,4.1,24.390243902439025
22.8,20,3.6,37.6,2.6595744680851063
22.8,34,5.7,22.3,4.484304932735426
22.8,48,7.9,15.9,6.289308176100628
22.8,62,10.1,12.4,8.064516129032258
22.8,76,12.4,10.2,9.803921568627452
22.8,90,14.7,8.7,11.49425287356322
22.8,104,17.1,7.6,13.157894736842106
22.8,118,19.5,6.7,14.925373134328359
22.8,132,21.9,6.0,16.666666666666668
22.8,146,24.3,5.5,18.181818181818183
22.8,160,26.8,5.1,19.607843137254903
22.8,174,29.3,4.7,21.27659574468085
22.8,188,31.8,4.4,22.727272727272727
22.8,202,34.4,4.1,24.390243902439025
22.8,216,37.0,3.9,25.641025641025642
22.8,230,39.5,3.6,27.77777777777778
22.8,244,42.1,3.5,28.571428571428573
22.8,258,44.8,3.3,30.303030303030305
22.8,272,47.4,3.1,32.25806451612903
22.8,286,50.0,3.0,33.333333333333336
22.8,300,52.7,2.9,34.48275862068966
23.9,20,3.4,21.2,4.716981132075472
23.9,34,5.4,12.5,8.0
23.9,48,7.5,9.0,11.11111111111111
23.9,62,9.7,7.0,14.285714285714286
23.9,76,11.9,5.7,17.543859649122805
23.9,90,14.2,4.9,20.408163265306122
23.9,104,16.5,4.3,23.255813953488374
23.9,118,18.8,3.8,26.315789473684212
23.9,132,21.2,3.4,29.411764705882355
23.9,146,23.6,3.1,32.25806451612903
23.9,160,26.1,2.9,34.48275862068966
23.9,174,28.5,2.6,38.46153846153846
23.9,188,31.0,2.5,40.0
23.9,202,33.5,2.3,43.47826086956522
23.9,216,36.1,2.2,45.45454545454545
23.9,230,38.6,2.1,47.61904761904762
23.9,244,41.2,2.0,50.0
